settlement,osm_type,osm_id,name,name_ru,name_ro,official_name,alt_name,old_name,ru_display,ru_source,ru_status,road_class,is_address_street,needs_name_classification_review
bender,way,209668157,Пионерский переулок,Пионерский переулок,Stradela Pionerskii,,,,Пионерский переулок,name:ru,ok,address_street,True,False
bender,way,160024304,Пограничный переулок,Пограничный переулок,,,,,Пограничный переулок,name:ru,ok,address_street,True,False
bender,way,161627667,Подольская улица,Подольская улица,Strada Podolscaia,,,,Подольская улица,name:ru,ok,address_street,True,True
bender,way,96821662,Подольский переулок,Подольский переулок,Stradela Podolscaia,,,,Подольский переулок,name:ru,ok,address_street,True,False
bender,way,393488079,Полевой переулок,Полевой переулок,,,,,Полевой переулок,name:ru,ok,service,False,True
bender,way,222835413,Почтовый переулок,Почтовый переулок,Stradela Poștei,,,,Почтовый переулок,name:ru,ok,address_street,True,False
bender,way,657287120,Протягайловская улица,Протягайловская улица,Strada Proteagailovca,,,,Протягайловская улица,name:ru,ok,address_street,True,False
bender,way,222764129,Путейская улица,Путейская улица,Strada Puteiscaia,,,,Путейская улица,name:ru,ok,address_street,True,False
bender,way,222702908,Рыбницкая улица,Рыбницкая улица,Strada Rîbnița,,,,Рыбницкая улица,name:ru,ok,address_street,True,False
bender,way,50738518,Рыбницкий переулок,Рыбницкий переулок,Stradela Rîbnița,,,,Рыбницкий переулок,name:ru,ok,address_street,True,True
bender,way,41749659,Садовая улица,Садовая улица,Strada Livezilor,,,,Садовая улица,name:ru,ok,address_street,True,False
bender,way,87506320,Садовый переулок,Садовый переулок,Stradela Livezilor,,,,Садовый переулок,name:ru,ok,address_street,True,False
bender,way,209668174,Санаторная улица,Санаторная улица,,,,,Санаторная улица,name:ru,ok,address_street,True,False
bender,way,87496997,Севастопольская улица,Севастопольская улица,Strada Sevastopol,,,,Севастопольская улица,name:ru,ok,address_street,True,False
bender,way,87502095,Советская улица,Советская улица,Strada Sovietică,,,Дворянская улица,Советская улица,name:ru,ok,address_street,True,True
bender,way,87499738,Спортивная улица,Спортивная улица,,,,,Спортивная улица,name:ru,ok,address_street,True,True
bender,way,38633109,Тираспольская улица,Тираспольская улица,Strada Tiraspol,,,Конная площадь,Тираспольская улица,name:ru,ok,address_street,True,False
bender,way,161635489,Треугольный переулок,Треугольный переулок,,,,,Треугольный переулок,name:ru,ok,address_street,True,False
bender,way,164987460,Украинская улица,Украинская улица,Strada Ucraineană,,,,Украинская улица,name:ru,ok,address_street,True,False
bender,way,91850332,Фонтанная улица,Фонтанная улица,,,,,Фонтанная улица,name:ru,ok,address_street,True,False
bender,way,41844063,Фруктовая улица,Фруктовая улица,Strada Fructelor,,,,Фруктовая улица,name:ru,ok,address_street,True,False
bender,way,87502087,Херсонская улица,Херсонская улица,Strada Herson,,,,Херсонская улица,name:ru,ok,address_street,True,False
bender,way,87502091,Херсонский проезд,Херсонский проезд,Pasajul Herson,,,,Херсонский проезд,name:ru,ok,address_street,True,False
bender,way,116073593,Хотинская улица,Хотинская улица,Strada Hotinului,,,,Хотинская улица,name:ru,ok,address_street,True,False
bender,way,707283902,Цареградская улица,Цареградская улица,Strada Țaregradscaia,,,,Цареградская улица,name:ru,ok,service,False,True
bender,way,87496984,Школьная улица,Школьная улица,Strada Școlii,,,,Школьная улица,name:ru,ok,address_street,True,False
bender,way,222699791,Школьный переулок,Школьный переулок,Stradela Școlii,,,,Школьный переулок,name:ru,ok,address_street,True,False
bender,way,222655026,Южная улица,Южная улица,Strada de Sud,,,,Южная улица,name:ru,ok,address_street,True,False
bender,way,525053249,начало пути,,,,,,начало пути,none,needs_ru_review,informal,False,True
bender,way,87506347,переулок 28 Июня,переулок 28 Июня,Stradela 28 Iunie,,,,переулок 28 Июня,name:ru,ok,address_street,True,False
bender,way,224636548,переулок 5 Декабря,переулок 5 Декабря,Stradela 5 Decembrie,,,,переулок 5 Декабря,name:ru,ok,address_street,True,False
bender,way,47475963,переулок Баумана,переулок Баумана,Stradela Bauman,,,,переулок Баумана,name:ru,ok,address_street,True,False
bender,way,161635488,переулок Бородина,переулок Бородина,Stradela Borodin,,,,переулок Бородина,name:ru,ok,address_street,True,False
bender,way,160166705,переулок Грибоедова,переулок Грибоедова,Stradela Griboedov,,,,переулок Грибоедова,name:ru,ok,address_street,True,False
bender,way,224360312,переулок Емилиана Букова,переулок Емилиана Букова,Stradela Emilian Bucov,,,переулок Жданова,переулок Емилиана Букова,name:ru,ok,address_street,True,False
bender,way,165636730,переулок Иона Солтыса,переулок Иона Солтыса,Stradela Ion Soltîs,,,,переулок Иона Солтыса,name:ru,ok,address_street,True,False
bender,way,295088587,переулок Калинина,переулок Калинина,Stradela Kalinin,,,,переулок Калинина,name:ru,ok,address_street,True,False
